id,name,prefecture,latitude,longitude,source
21014,アルプ飛騨古川,岐阜県,36.220446,137.192351,mlit
21015,飛騨金山ぬく森の里温泉,岐阜県,35.668911,137.147179,mlit
21016,上矢作ラ・フォーレ福寿の里,岐阜県,35.323636,137.471578,mlit
21017,モンデウス飛騨位山,岐阜県,36.061868,137.225696,mlit
21018,南飛騨小坂,岐阜県,35.931458,137.294345,mlit
21019,夢さんさん谷汲,岐阜県,35.531481,136.585564,mlit
21020,土岐美濃焼街道,岐阜県,35.336059,137.22319,mlit
21021,富有柿の里いとぬき,岐阜県,35.472554,136.676047,mlit
21022,ななもり清見,岐阜県,36.133976,137.16621,mlit
21023,きりら坂下,岐阜県,35.57043,137.534574,mlit
21024,クレール平田,岐阜県,35.274715,136.671057,mlit
21025,馬瀬　美輝の里,岐阜県,35.819913,137.187413,mlit
21026,飛騨街道　なぎさ,岐阜県,36.006871,137.291661,mlit
21027,ひだ朝日村,岐阜県,36.087964,137.350572,mlit
21028,そばの郷　らっせぃみさと,岐阜県,35.405708,137.358747,mlit
21029,織部の里・もとす,岐阜県,35.500115,136.667187,mlit
21030,飛騨たかね工房,岐阜県,36.046476,137.440741,mlit
21031,大日岳,岐阜県,35.987643,136.891074,mlit
21032,桜の郷　荘川,岐阜県,36.021213,136.965612,mlit
21033,むげ川,岐阜県,35.515183,136.854122,mlit
21034,古今伝授の里やまと,岐阜県,35.816091,136.901735,mlit
21035,みのかも,岐阜県,35.473664,137.029861,osm
21036,茶の里東白川,岐阜県,35.667783,137.352421,mlit
21037,和良,岐阜県,35.742508,137.067787,mlit
21038,うすずみ桜の里・ねお,岐阜県,35.660163,136.589241,mlit
21039,志野・織部,岐阜県,35.394143,137.188131,mlit
21040,加子母,岐阜県,35.708782,137.374753,mlit
21041,夜叉ヶ池の里さかうち,岐阜県,35.602032,136.413732,mlit
21042,おばあちゃん市・山岡,岐阜県,35.328255,137.306444,mlit
21043,月見の里　南濃,岐阜県,35.215087,136.600691,mlit
21044,柳津,岐阜県,35.370094,136.731357,mlit
21045,五木のやかた・かわうえ,岐阜県,35.602352,137.501864,mlit
21046,宙ドーム・神岡,岐阜県,36.329017,137.307189,mlit
21047,白尾ふれあいパーク,岐阜県,35.889671,136.891924,mlit
21048,美濃にわか茶屋,岐阜県,35.554599,136.913733,mlit
21049,飛騨白山,岐阜県,36.17388,136.901648,mlit
21050,半布里の郷　とみか,岐阜県,35.47432,136.980146,mlit
21051,可児ッテ「ＣＡＮＩＴＴＥ」,岐阜県,35.430055,137.101163,mlit
21052,池田温泉,岐阜県,35.419442,136.559814,mlit
21053,清流白川　クオーレの里,岐阜県,35.595447,137.218983,mlit
21054,清流の里しろとり,岐阜県,35.881564,136.854767,mlit
21055,パレットピアおおの,岐阜県,35.431918,136.628084,mlit
22001,富士,静岡県,35.13341,138.647042,mlit
22002,くんま水車の里,静岡県,34.960824,137.733228,mlit
22003,花の三聖苑伊豆松崎,静岡県,34.757783,138.825399,mlit
22004,宇津ノ谷峠,静岡県,34.92545,138.300822,mlit
22005,いっぷく処横川,静岡県,34.905492,137.872054,mlit
22006,フォーレなかかわね茶茗舘,静岡県,35.070447,138.107828,mlit
22007,天城越え,静岡県,34.855828,138.921935,mlit
22008,奥大井音戯の郷,静岡県,35.108421,138.136842,mlit
22009,朝霧高原,静岡県,35.413319,138.591292,mlit
22010,川根温泉,静岡県,34.959886,138.089691,mlit
22011,富士川楽座,静岡県,35.161828,138.618619,mlit
22012,玉露の里,静岡県,34.950728,138.251558,mlit
22013,天竜相津　花桃の里,静岡県,34.911788,137.815006,mlit
22014,伊東マリンタウン,静岡県,34.984643,139.094386,mlit
22015,開国下田みなと,静岡県,34.67482,138.950877,mlit
22016,掛川,静岡県,34.794201,138.076064,mlit
22017,ふじおやま,静岡県,35.344451,138.950084,mlit
22018,潮見坂,静岡県,34.677282,137.499227,mlit
22019,伊豆のへそ,静岡県,35.011785,138.941065,mlit
22020,下賀茂温泉　湯の花,静岡県,34.64971,138.86658,mlit
22021,すばしり,静岡県,35.362702,138.858767,mlit
22022,風のマルシェ　御前崎,静岡県,34.640677,138.110751,mlit
22023,くるら戸田,静岡県,34.9713,138.7868,mlit
22024,伊豆ゲートウェイ函南 ,静岡県,35.075604,138.926014,mlit
22025,伊豆月ケ瀬,静岡県,34.922473,138.932076,osm
22026,そらっと牧之原,静岡県,34.77714,138.212705,osm
22027,ゆとりえせとや,静岡県,34.93,138.24,approx
23001,豊根グリーンポート宮嶋,愛知県,35.179164,137.682677,mlit
23002,鳳来三河三石,愛知県,34.902591,137.613393,mlit
23003,田原めっくんはうす,愛知県,34.661362,137.272428,mlit
23004,伊良湖クリスタルポルト,愛知県,34.583626,137.020198,mlit
23005,つぐ高原グリーンパーク,愛知県,35.197553,137.609167,mlit
23006,どんぐりの里　いなぶ,愛知県,35.213905,137.503069,mlit
23007,アグリステーションなぐら,愛知県,35.172967,137.534721,mlit
23008,デンパーク安城,愛知県,34.930514,137.058186,mlit
23009,つくで手作り村,愛知県,34.963197,137.420692,mlit
23010,ふれあいの里HASUパーク,愛知県,34.7472,137.4439,approx
23011,あかばねロコステーション,愛知県,34.607778,137.189381,mlit
23012,筆柿の里・幸田,愛知県,34.848524,137.138304,mlit
23013,にしお岡ノ山,愛知県,34.876796,137.083111,mlit
23014,瀬戸しなの,愛知県,35.242348,137.115082,mlit
23015,藤川宿,愛知県,34.914248,137.216854,mlit
23016,もっくる新城,愛知県,34.91757,137.5337,mlit
23017,とよはし,愛知県,34.69569,137.416404,osm
23018,したら,愛知県,35.064148,137.549001,osm
23019,マチテラス日進,愛知県,35.138006,137.044049,osm
24001,飯高駅,三重県,34.427567,136.331951,mlit
24002,菰野,三重県,35.013663,136.503055,mlit
24003,紀宝町ウミガメ公園,三重県,33.769819,136.028434,mlit
24004,パーク七里御浜,三重県,33.803565,136.043105,mlit
24005,海山,三重県,34.102363,136.214084,mlit
24006,奥伊勢木つつ木館,三重県,34.367591,136.418877,mlit
24007,熊野きのくに,三重県,33.959915,136.104254,mlit
24008,茶倉駅,三重県,34.460376,136.398213,mlit
